cond;etac;lg;catpri18;COUNT;PERCENT;DURM;MX;MN;SD
1;2;01;7.1.3;31;0.030466231621982868;00:47:25.161000;01:59:59.997000;00:09:59.996000;00:27:33.852000
1;2;01;7.1.9;30;0.02948344995675761;01:00:00.003000;04:00:00.003000;00:09:59.996000;00:57:42.903000
1;2;01;3.4.2;27;0.026535104961081846;00:28:53.331000;01:59:59.997000;00:09:59.996000;00:27:21.764000
1;2;01;3.5.9;22;0.02162119663495558;01:23:38.181000;04:20:00.004000;00:09:59.996000;01:15:03.505000
1;2;01;3.4.9;20;0.019655633304505073;01:07:30;03:49:59.998000;00:09:59.996000;00:56:22.232000
1;2;01;1.2.9;19;0.01867285163927982;01:16:18.949000;03:00:00;00:09:59.996000;00:53:40.007000
1;2;01;6.1.9;19;0.01867285163927982;00:37:22.106000;01:30:00;00:09:59.996000;00:24:13.853000
1;2;01;6.1.1;17;0.016707288308829307;00:25:52.945000;01:30:00;00:09:59.996000;00:21:48.684000
1;2;01;7.3.1;17;0.016707288308829307;00:45:17.643000;02:30:00.003000;00:09:59.996000;00:33:55.999000
1;2;01;9.9.9;17;0.016707288308829307;00:37:03.530000;00:40:00.002000;00:29:59.997000;00:04:41.802000
1;2;01;3.9.2;16;0.015724506643604058;00:24:22.501000;01:00:00.003000;00:09:59.996000;00:15:28.705000
1;2;01;3.6.1;15;0.014741724978378805;00:34:40.002000;01:50:00.001000;00:09:59.996000;00:28:45.106000
1;2;01;0.1.2;13;0.012776161647928297;01:00:00.003000;03:09:59.996000;00:09:59.996000;01:07:27.218000
1;2;01;3.6.2;10;0.009827816652252536;00:15:59.999000;00:49:59.998000;00:09:59.996000;00:12:38.946000
1;2;01;4.2.5;10;0.009827816652252536;00:20:00.001000;01:50:00.001000;00:09:59.996000;00:31:37.370000
1;2;01;7.2.1;9;0.008845034987027283;01:08:53.333000;03:40:00.002000;00:09:59.996000;01:07:43.254000
1;2;01;3.3.9;8;0.007862253321802029;00:47:29.999000;01:30:00;00:09:59.996000;00:28:39.636000
1;2;01;3.8.9;8;0.007862253321802029;00:45:00;01:30:00;00:09:59.996000;00:26:43.567000
1;2;01;3.4.4;5;0.004913908326126268;00:15:59.999000;00:29:59.997000;00:09:59.996000;00:08:56.656000
1;2;01;3.5.1;5;0.004913908326126268;01:36:00.003000;03:40:00.002000;00:29:59.997000;01:25:19.373000
1;2;01;6.3.1;5;0.004913908326126268;00:24:00.003000;01:00:00.003000;00:09:59.996000;00:21:54.533000
1;2;01;4.1.1;2;0.0019655633304505073;01:09:59.999000;01:39:59.996000;00:40:00.002000;00:42:25.586000
1;2;01;4.2.9;2;0.0019655633304505073;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;01;6.1.4;2;0.0019655633304505073;01:20:00.004000;01:20:00.004000;01:20:00.004000;00:00:00
1;2;01;7.1.2;2;0.0019655633304505073;00:29:59.997000;00:49:59.998000;00:09:59.996000;00:28:17.060000
1;2;03;5.1.2;1774;33.15887850467289;00:43:49.990000;04:59:59.997000;00:09:59.996000;00:44:14.882000
1;2;03;0.2.1;1307;24.429906542056074;00:49:27.866000;04:30:00;00:09:59.996000;00:36:20.226000
1;2;03;8.2.1;331;6.186915887850466;01:00:52.569000;04:09:59.999000;00:09:59.996000;00:42:08.487000
1;2;03;0.3.1;314;5.869158878504672;00:15:32.481000;01:50:00.001000;00:09:59.996000;00:11:46.173000
1;2;03;4.2.9;219;4.093457943925234;00:36:50.959000;06:29:59.997000;00:09:59.996000;00:37:40.846000
1;2;03;0.1.1;212;3.9626168224299056;03:03:03.963000;09:00:00;00:09:59.996000;02:00:55.837000
1;2;03;3.1.1;208;3.887850467289719;00:24:05.196000;01:59:59.997000;00:09:59.996000;00:20:04.528000
1;2;03;3.8.1;131;2.4485981308411207;00:19:41.676000;01:20:00.004000;00:09:59.996000;00:15:20.350000
1;2;03;5.3.1;111;2.074766355140187;00:50:16.215000;03:00:00;00:09:59.996000;00:36:57.802000
1;2;03;3.8.3;95;1.7757009345794394;00:30:50.524000;01:59:59.997000;00:09:59.996000;00:22:48.948000
1;2;03;3.8.4;59;1.102803738317757;00:15:25.422000;01:30:00;00:09:59.996000;00:14:46.602000
1;2;03;7.3.2;54;1.0093457943925233;01:20:00.004000;04:59:59.997000;00:09:59.996000;00:54:27.683000
1;2;03;3.1.2;49;0.9158878504672896;00:20:00.001000;00:49:59.998000;00:09:59.996000;00:12:04.568000
1;2;03;3.2.4;44;0.822429906542056;00:20:27.269000;03:00:00;00:09:59.996000;00:26:45.563000
1;2;03;5.1.3;42;0.7850467289719626;02:07:51.430000;10:00:00.003000;00:09:59.996000;01:59:11.708000
1;2;03;4.2.4;37;0.6915887850467289;00:36:29.186000;01:20:00.004000;00:09:59.996000;00:22:38.061000
1;2;03;5.1.4;37;0.6915887850467289;00:27:01.624000;01:20:00.004000;00:09:59.996000;00:21:42.800000
1;2;03;4.2.5;34;0.6355140186915887;00:22:03.527000;01:09:59.999000;00:09:59.996000;00:16:06.108000
1;2;03;3.2.1;33;0.6168224299065419;00:27:16.364000;01:59:59.997000;00:09:59.996000;00:28:18.866000
1;2;03;4.2.3;30;0.5607476635514017;00:28:19.998000;01:30:00;00:09:59.996000;00:20:21.359000
1;2;03;4.2.1;28;0.5233644859813084;01:33:12.853000;04:30:00;00:09:59.996000;01:16:06.698000
1;2;03;7.2.2;19;0.3551401869158878;00:36:50.527000;02:30:00.003000;00:09:59.996000;00:37:16.542000
1;2;03;5.1.5;17;0.3177570093457944;00:35:52.941000;01:59:59.997000;00:09:59.996000;00:35:53.520000
1;2;03;8.1.1;13;0.24299065420560745;00:30:46.152000;01:00:00.003000;00:09:59.996000;00:19:20.905000
1;2;03;1.1.1;12;0.22429906542056072;01:05:00.001000;02:39:59.999000;00:09:59.996000;00:47:23.173000
1;2;03;5.1.1;12;0.22429906542056072;00:27:29.998000;00:49:59.998000;00:09:59.996000;00:12:09.259000
1;2;03;7.3.5;12;0.22429906542056072;00:58:20.004000;03:09:59.996000;00:09:59.996000;00:52:11.654000
1;2;03;8.1.2;10;0.18691588785046728;00:45:00;01:30:00;00:09:59.996000;00:26:46.236000
1;2;03;7.2.9;9;0.16822429906542055;00:47:46.666000;01:30:00;00:09:59.996000;00:23:51.786000
1;2;03;3.7.1;8;0.14953271028037382;00:12:30.004000;00:20:00.001000;00:09:59.996000;00:04:37.750000
1;2;03;7.1.1;8;0.14953271028037382;00:49:59.998000;01:30:00;00:09:59.996000;00:29:45.655000
1;2;03;7.3.9;8;0.14953271028037382;00:22:30;00:49:59.998000;00:09:59.996000;00:13:53.242000
1;2;03;8.3.1;8;0.14953271028037382;00:24:59.999000;01:00:00.003000;00:09:59.996000;00:18:30.983000
1;2;03;9.9.5;8;0.14953271028037382;00:22:30;00:49:59.998000;00:09:59.996000;00:13:53.242000
1;2;03;3.8.2;6;0.11214953271028036;01:01:40.002000;01:30:00;00:40:00.002000;00:19:24.473000
1;2;03;7.1.9;6;0.11214953271028036;00:56:40.004000;02:19:59.998000;00:29:59.997000;00:41:18.712000
1;2;03;0.3.9;5;0.09345794392523363;00:15:59.999000;00:29:59.997000;00:09:59.996000;00:08:56.656000
1;2;03;3.4.1;5;0.09345794392523363;00:27:59.996000;00:40:00.002000;00:09:59.996000;00:13:02.300000
1;2;03;7.3.4;5;0.09345794392523363;00:44:00.004000;01:20:00.004000;00:09:59.996000;00:32:05.614000
1;2;03;8.1.9;5;0.09345794392523363;00:33:59.999000;01:00:00.003000;00:20:00.001000;00:16:43.994000
